,Missed Count,Request Number,Date Opened,Request,Description,Incident Address,Zip Code,Trash Hauler,Trash Route,Council District,State Plan X,State Plan Y,fees
0,2,25274,11/01/17,Trash - Curbside/Alley Missed Pickup,Curb/Trash miss Tuesday.,4028 clarksville pike,37218.0,RED RIVER,4202,1.0,1721259.36568104,685444.799565154,200
1,2,25359,11/01/17,Trash - Curbside/Alley Missed Pickup,Missed. Does not have access to alley.,830 meridian st,37207.0,METRO,9207,5.0,1741744.71198552,675328.666056683,200
2,4,25371,11/01/17,Trash - Curbside/Alley Missed Pickup,Pickup missed,2218 buena vista pike,37218.0,RED RIVER,4204,2.0,1724505.76628625,679777.599715987,600
3,3,25454,11/01/17,Trash - Curbside/Alley Missed Pickup,Missed.,449 westboro dr,37209.0,RED RIVER,4201,20.0,1710615.08966878,661992.330671121,400
4,5,25496,11/01/17,Trash - Curbside/Alley Missed Pickup,Missed pickup,1815 woodmont blvd,37215.0,RED RIVER,3305,25.0,1730532.21569564,648861.631860082,800
5,2,25511,11/01/17,Trash - Curbside/Alley Missed Pickup,Missed.,259 sunrise ave,37211.0,RED RIVER,4304,16.0,1750609.59344832,645187.6809331,200
6,2,25512,11/01/17,Trash - Curbside/Alley Missed Pickup,cust says entire street was missed,4311 dakota ave,37209.0,RED RIVER,1308,24.0,1720100.1654592,661552.800933596,200
7,4,25515,11/01/17,Trash - Curbside/Alley Missed Pickup,Missed. Cart is still out,4029 graybar ct,37215.0,RED RIVER,3305,25.0,1729986.30393874,648821.425466489,600
8,3,25517,11/01/17,Trash - Curbside/Alley Missed Pickup,Missed.,524 harding pl,37211.0,RED RIVER,4302,26.0,1751208.96335089,635651.200956123,400
9,2,25536,11/02/17,Trash - Curbside/Alley Missed Pickup,trash missed Wednesday. Curb,6011 jocelyn hollow rd,37205.0,RED RIVER,1304,23.0,1711333.96669066,649685.901491906,200
10,4,25539,11/02/17,Trash - Curbside/Alley Missed Pickup,"Alley trash miss for Wednesday. Wants cart emptied. Also others 
615-293-1573",2524 batavia st,37208.0,METRO,9303,21.0,1727574.08061429,666486.401814931,600
11,2,25540,11/02/17,Trash - Curbside/Alley Missed Pickup,"Curb trash miss Wednesday, also neighbors as well.",934 battery ln,37220.0,RED RIVER,3302,25.0,1735552.16563991,639784.002228514,200
12,2,25586,11/02/17,Trash - Curbside/Alley Missed Pickup,Missed pickup,4311 dakota ave,37209.0,RED RIVER,1308,24.0,1720742.73956707,661438.818510417,200
13,5,25587,11/02/17,Trash - Curbside/Alley Missed Pickup,MISSED TRASH CHECK FOR OTHERS ALSO MISSED CURB,101 westover park ct,37215.0,RED RIVER,3305S,25.0,1729295.48572431,644211.602900962,800
14,5,25592,11/02/17,Trash - Curbside/Alley Missed Pickup,Missed pickup; cust says trash is missed once a month,205 channelkirk ln,37215.0,RED RIVER,3305,25.0,1729610.49615312,648595.971663382,800
15,2,25653,11/02/17,Trash - Curbside/Alley Missed Pickup,missed the entire street,118 westover park ct,37215.0,RED RIVER,3305S,25.0,1728948.01375959,644353.068300641,200
